Date,PortfolioValue,AAPL,TSLA,MSTR,GME,AMZN,MSFT,NVDA,META,UNH,V,JPM,IBKR,RBLX,DKNG,CELH,SOFI,HOOD,ABNB,PEP,COST,AMD,GOOG,MRK,CSCO,WMT,BA,C,DIS,CRM,AMGN,LOW,GS,WBA,PYPL,ADBE,NKE,ORCL,TXN,PFE,INTC,BKNG,GE,UPS,T,VRTX,MDT,CVX,ABBV,MCD,BLK,FDX,CAT,ZM,TEAM,DDOG,SHOP,LYFT,UBER,TWLO,DOCU,RIVN,F,GM,XOM,OXY,PSX,APA,WBD,SBUX,BK,MS,ETSY,PANW,ZS,ANET,LULU,DE,SPOT,CHTR,MAR,HON,NOW,ADP,TMO,AVGO,KLAC,MPC,DFS,MTCH,EBAY,ALGN,CRWD,DD,GLW,VRSK,ILMN,REGN,SWKS,FTNT,ROST,BBY,AES,DRI,ULTA,IDXX,APPF,INSM,FND,RUN,BL,FOUR,ESTC,NEOG,RGEN,VRT,MGNI,LMND,WOLF,XLF,XLK,XLY,XLE,XLV,XLI,XLB,XLU,XME,XOP,XRT,SPY,QQQ,IVV,VTI,IWM,DIA
2019-01-02,999290.5723018646,0.00%,4.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.90%,0.00%,5.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.37%,2.07%,0.00%,0.00%,0.00%,0.00%,9.59%,0.28%,0.00%,0.00%,0.00%,5.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.35%,0.00%,8.69%,0.00%,0.00%,4.65%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.64%,0.00%,0.00%,0.00%,0.00%,2.51%,0.00%,0.00%,2.20%,0.00%,0.00%,1.61%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-03,991413.2163677216,0.00%,3.98%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.85%,0.00%,5.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.37%,2.04%,0.00%,0.00%,0.00%,0.00%,9.62%,0.27%,0.00%,0.00%,0.00%,5.81%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.43%,0.00%,8.51%,0.00%,0.00%,4.65%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.65%,0.00%,0.00%,0.00%,0.00%,2.48%,0.00%,0.00%,2.23%,0.00%,0.00%,1.62%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-04,1011025.5056934357,0.00%,4.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.82%,0.00%,5.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.37%,2.06%,0.00%,0.00%,0.00%,0.00%,9.49%,0.28%,0.00%,0.00%,0.00%,5.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.48%,0.00%,8.61%,0.00%,0.00%,4.65%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.64%,0.00%,0.00%,0.00%,0.00%,2.50%,0.00%,0.00%,2.26%,0.00%,0.00%,1.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.84%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-07,1012691.9980354309,0.00%,4.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.83%,0.00%,5.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.37%,2.06%,0.00%,0.00%,0.00%,0.00%,9.59%,0.28%,0.00%,0.00%,0.00%,5.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.62%,0.00%,8.04%,0.00%,0.00%,4.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.67%,0.00%,0.00%,0.00%,0.00%,2.53%,0.00%,0.00%,2.36%,0.00%,0.00%,1.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.87%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-08,1020029.6845703125,0.00%,4.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.84%,0.00%,5.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.37%,2.06%,0.00%,0.00%,0.00%,0.00%,9.58%,0.29%,0.00%,0.00%,0.00%,6.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.66%,0.00%,8.04%,0.00%,0.00%,4.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.70%,0.00%,0.00%,0.00%,0.00%,2.55%,0.00%,0.00%,2.37%,0.00%,0.00%,1.65%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.71%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-09,1019218.4771633148,0.00%,4.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.85%,0.00%,5.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.36%,2.08%,0.00%,0.00%,0.00%,0.00%,9.56%,0.30%,0.00%,0.00%,0.00%,5.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.53%,0.00%,8.17%,0.00%,0.00%,4.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.70%,0.00%,0.00%,0.00%,0.00%,2.59%,0.00%,0.00%,2.38%,0.00%,0.00%,1.64%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.76%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-10,1023531.7421188354,0.00%,4.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.85%,0.00%,5.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.36%,2.08%,0.00%,0.00%,0.00%,0.00%,9.53%,0.30%,0.00%,0.00%,0.00%,6.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.58%,0.00%,8.18%,0.00%,0.00%,4.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.67%,0.00%,0.00%,0.00%,0.00%,2.62%,0.00%,0.00%,2.29%,0.00%,0.00%,1.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.58%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-11,1025768.2995605469,0.00%,4.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.88%,0.00%,4.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.36%,2.07%,0.00%,0.00%,0.00%,0.00%,9.49%,0.30%,0.00%,0.00%,0.00%,5.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.69%,0.00%,8.17%,0.00%,0.00%,4.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.68%,0.00%,0.00%,0.00%,0.00%,2.61%,0.00%,0.00%,2.29%,0.00%,0.00%,1.61%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.95%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-14,1018455.8642959595,0.00%,4.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.90%,0.00%,5.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.36%,2.07%,0.00%,0.00%,0.00%,0.00%,9.57%,0.30%,0.00%,0.00%,0.00%,5.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.68%,0.00%,8.22%,0.00%,0.00%,4.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.69%,0.00%,0.00%,0.00%,0.00%,2.62%,0.00%,0.00%,2.44%,0.00%,0.00%,1.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.64%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-15,1028786.7536869049,0.00%,4.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.98%,0.00%,5.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.36%,2.07%,0.00%,0.00%,0.00%,0.00%,9.61%,0.30%,0.00%,0.00%,0.00%,5.91%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.59%,0.00%,8.26%,0.00%,0.00%,4.64%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.68%,0.00%,0.00%,0.00%,0.00%,2.66%,0.00%,0.00%,2.44%,0.00%,0.00%,1.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.64%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
